id,Course Code,Course Name
146,MUS,Music
147,NANO,Nanoengineering
148,NEU,Neurosciences
149,NEUG,Neurosciences/ Graduate
150,OBG,Obstetrics and Gynecology
151,OPTH,Ophthalmology
152,ORTH,Orthopedics
153,PATH,Pathology
154,PEDS,Pediatrics
155,PHAR,Pharmacology
156,PHIL,Philosophy
157,PHYA,Physics/ Astronomy
158,PHYS,Physics
159,POLI,Political Science
160,PSY,Psychiatry
161,PSYC,Psychology
162,RAD,Radiology
163,RELI,"Religion, Study of"
164,REV,Revelle College
165,RMAS,Radiation Medicine and Applied Sciences
166,RMED,Reproductive Medicine
167,SE,Structural Engineering
168,SEV,Seventh College
169,SIO,Scripps Institution of Oceanography
170,SIOB,Scripps Institution of Oceanography/ Ocean Biosciences Program
171,SIOC,
172,SIOG,
173,SOCE,Sociology/ Individual Research and Honors Project
174,SOCG,Sociology/ Graduate
175,SOCI,Sociology
176,SOCL,Sociology/ Lower Division
177,SOMC,School of Medicine Core Courses
178,SOMI,School of Medicine Interdisciplinary
179,SPPH,SSPPS/ Pharmaceutical Sciences
180,SPPS,Pharmacy
181,SURG,Surgery
182,SXTH,Sixth College
183,SYN,Synthesis Program
184,TDAC,Theatre/ Acting
185,TDDE,Theatre/ Design
186,TDDM,Dance/ Dance Making
187,TDDR,Theatre/ Directing and Stage Management
188,TDGE,Theatre/ General
189,TDGR,Theatre/ Graduate
190,TDHD,Dance/ History
191,TDHT,Theatre/ History & Theory
192,TDMV,Dance/ Movement
193,TDPF,Dance/ Performance
194,TDPR,Theatre Dance/ Practicum
195,TDPW,Theatre/ Playwriting
196,TDTR,Dance/ Theory
197,TKS,Transnational Korean Studies
198,TMC,Thurgood Marshall College
199,TWS,Third World Studies
200,UROL,Urology
201,USP,Urban Studies and Planning
202,VIS,Visual Arts
203,WARR,Warren College
204,WCWP,Warren College Writing Program
205,WES,Wireless Embedded Systems
